prompts,answer
A landfill,may cause an increase in loose detritus in the area
Redemption,
What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.
www.bigtsreviews.com,
Conservation is,reusing gift bags again and again
Ecosystems,are communities with a plethora of living beings
What Are Mnemonic Devices,"A mnemonic (, with a silent ""m""), or mnemonic device, is any learning technique that aids information retention."
A/an __________________ is reusable,dish towel
Gravitational force never affects,sunshine
Verb tense neither future nor past?,Present
WHO QUALIFIES AS A DOMESTIC PARTNER IN CA,"A California domestic partnership is a legal relationship available to same-sex couples, and to certain opposite-sex couples in which at least one party is at least 18 years of age."
what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate ."
what chili wants wiki,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC ."
what division is boise state football,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .
who pulmonary hypertension,It was first identified by Dr. Ernst von Romberg in 1891.
who founded walmart,"The company was founded by Sam Walton in 1962, incorporated on October 31, 1969, and publicly traded on the New York Stock Exchange in 1972."
who rules communism government,It has a form of government characterized by single-party rule or dominant-party rule of a communist party (referred as Dictatorship of the Proletariat by its proponents) and a professed allegiance to a Leninist or Marxist–Leninist ideology as the guiding principle of the state.
when slavery abolished,In January 1863 President Lincoln freed slaves in the Confederacy through the Emancipation Proclamation .
Where Are Mahindra Tractors Made,"Mahindra has a huge consumer base in India, China and America and a growing base in Australia."
WHO IS HENRY SAMPSON JR.,"Henry T. Thomas Sampson, Jr. (born in Jackson, Mississippi in 1934) is an African-American inventor."
WHERE WAS JOHN WAYNE BORN,"Wayne was born in Winterset, Iowa but his family relocated to the greater Los Angeles area when he was four years old."
what forms seasons,"A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight ."
whatever happened clint walker,"Norman Eugene Walker, known as Clint Walker (born May 30, 1927), is a retired American actor ."
what hormones produce thyroid,"The thyroid hormones, triiodothyronine (T3) and thyroxine (T4), are tyrosine -based hormones produced by the thyroid gland that are primarily responsible for regulation of metabolism."
Scales,help users know if they need to drop some lbs.
Heavy rains cause flooding which,ruin crops
while passing Jupiter the,stronger the gravity
A heavier object,requires more muscle power to shift
Cardinals,incubate their young
National parks have rules,that protect vulnerable animal inhabitants int he parks
A,bacterial cell must perform all life functions
Rainbows need,sun and some drizzle
A phase change happens,when food is digested by the stomach
Jim found birds living among,cactus
Heating ice,will leave a puddle
Microscopes,enhance the size of amoebas for easier viewing
Communities contain,a diverse selection of living beings
A refrigerator,requires an electrical outlet to work
Death,deducts from population total
To prevent electric shock,masonry will come in handy
When doing experiments,guard against spilling hydrogen chloride
Fossil fuels,are a dwindling commodity
Moving heavy objects,requires more might
High carbon steel contains,Fe
Berries,keep your brain clean
Examples of hypothesis is,Drinking sugary drinks daily leads to obesity
Rain helps,communities thrive
Sea horses require,the sun
A highly polished surface will,redirect light energy
Overeating,causes the number on the scale to go up
Sometimes birds,cause the spread of plants by pooping hard objects found in fruit
a closed circuit,is uninterrupted
a typical rabbit diet includes,weeds
Acid rain could effect,a car's color
lizards eat,six legged creatures
An orange liquid surfaces when,A volcano suddenly explodes
all animals,intake gaseous elements
Someone stops living when,They are without air
chemical reactions cause,fluctuative attributes
birds lay,calcium life pods
Sound pulses helps dolphins,find nourishment
Ground has,elements
A pendant whipping indicates,bulk air movement
Jays find nutrition in,mulberries
Finches love,sweet sultan
Ice melting erodes,granite
People often tear,private documents
Foxes eat,mice
A cougar eats,voles
Tunnels,lead to less impacted soil
And Then There Were None?,Agatha Christie
What glands produce adrenaline and cortisol?,Suprarenal
ewwww,
Great,
A,
Awesome fast pizza,
Beer cave!!,
Consumer alert... rats!,
.,
Avg.,
closed,
Great flowers,
Solid.,
awesome!!!,
closed :(,
closed!!!!!,
Closed!,
Fast?,
Ok,
Wonder,
Dirty,
Lisa's jazz-playing mentor was Bleeding Gums ...who?,Murphy
Which gangster Meyer Lansky founded Murder Incorporated?,Lucky Luciano
A gazetteer offers indexed information mainly oriented by?,Geography
what tensions preceded the berlin blockade,"Their aim was to force the western powers to allow the Soviet zone to start supplying Berlin with food and fuel, thereby giving the Soviets practical control over the entire city."
A Pelton wheel converts what power into usable energy?,Water
An observer on Jupiter would encounter localized periods of,darkness and light
WHAT COUNTRY IS MEXICO IN,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America."
when did germans enter paris in ww2,The Liberation of Paris (also known as the Battle for Paris) took place during World War II from 19 August 1944 until the surrender of the occupying German garrison on 25 August.
where is Desmanthus Illinoensis found,"Desmanthus illinoensis (commonly known as Illinois bundleflower, prairie-mimosa or prickleweed) is a plant in many areas of the south central US."
Beavers producing offspring after Winter impacts their life,positively
Sea nomads' larger spleens let them,hold their breath for longer underwater
What distinction has (Henry) Pu Yi?,Last Emperor of China
Nation Shall Speak Peace Unto Nation.,BBC
What profession historically performed blood-letting?,Barbers
Bloom's Taxonomy of Learning Domains divides learning development into three main aspects?,"Knowledge, Attitude, Skills"
what did isaac newton do,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .
what did elijah mccoy invent,"Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines."
what does automatic paper feeder on printers mean,"In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page."
what does leeroy jenkins mean,"Leeroy Jenkins, sometimes misspelled Leroy Jenkins and often elongated with numerous additional letters, is an Internet meme named for a player character created by Ben Schulz in Blizzard Entertainment 's MMORPG , World of Warcraft ."
who killed general warren in bunker hill,"Rather than exercising his rank, Warren served in the battle as a private soldier, and was killed in combat when British troops stormed the redoubt atop Breed's Hill ."
"WHERE IS ROUGH AND READY, CA","Rough and Ready is a census-designated place in Nevada County, California , United States ."
what was bernie madoff selling,"Bernard Lawrence ""Bernie"" Madoff (; born April 29, 1938) is an American former stockbroker , investment advisor , financier , and white collar criminal ."
a toaster converts electricity into radiant waves for,browning bagels
As ipod sale plummet apple reports major,loses
audible vibrations can travel freely through,nitrogen and oxygen
Battery powered vehicles have less emissions than,dragsters
The pine farms experience destruction yearly due to,abrupt electric discharge
What does Italian company Aprilia manufacture?,Motorcycles
In motion-detection and automated lighting sensors what does PIR mean?,Passive Infrared
what are SATA Power Connector,Serial ATA (SATA) is a computer bus interface that connects host bus adapters to mass storage devices such as hard disk drives and optical drives .
Who sang improvised calypsos on That Was The Week That Was?,Lance Percival
what did st.patrick do,"He is generally credited with being the first bishop of Armagh , Primate of All Ireland ."
what genre is bloody beetroots,"The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer ."
when us subprime mortgage market collapse,The U.S. subprime mortgage crisis was a set of events and conditions that led to a financial crisis and subsequent recession that began in 2008.
Who Makes Nexen Tires,"Nexen Tire is a tire manufacturer, headquartered in Yangsan , South Gyeongsang Province , and Seoul , both in South Korea ."
when did jack lalanne die,"Francois Henri ""Jack"" LaLanne (September 26, 1914 - January 23, 2011) was an American fitness , exercise , and nutritional expert and motivational speaker who is sometimes called ""the godfather of fitness"" and the ""first fitness superhero."""
where does ray lamontagne live,He lives in Massachusetts with his wife and two children.
what is Polyester in packaging PET,"Polyethylene terephthalate (sometimes written poly(ethylene terephthalate)), commonly abbreviated PET, PETE, or the obsolete PETP or PET-P, is a thermoplastic polymer resin of the polyester family and is used in synthetic fibers ; beverage, food and other liquid containers ; thermoforming applications; and engineering resins often in combination with glass fiber."
what is pci Interface,"Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer ."
What functions without contact between objects?,opposites attracting
Some bacteria are beneficial and some bacteria,cause upset stomach
California experiences heavy earthquake activity due to,techtonics
Locusts historically always affect crops,disadvantageously
Molecular bounds are broken by,combining vulotile ingredients
An inexhaustible resource could be,sand clay
If Earth has poles that are magnetic,needles aim that way
A foot uses force on spheres in,kickball
Grow lamps provide artificial sun to,succulents
Solar pumps move liquids continuously from the,ground
Scavengers eat dead what?,fauna
Cola and mentos combined will,expand quickly
Which setup likely refracts light?,gems and glowlights arranged precisely
Which lawyer made Raymond Burr famous?,Perry Mason
How many James Bond Themes did Dame Shirley Bassey Perform?,Three
An ammeter measures electrical what?,Current
Hot steam bath - from Finnish?,Sauna
"Which caves are a Site of Special Scientific Interest (SSSI), near Wells in Somerset",Wookie Hole
when did abraham lincoln write the emancipation proclamation??,"The Emancipation Proclamation was an order issued to all segments of the Executive branch (including the Army and Navy) of the United States by President Abraham Lincoln on January 1, 1863, during the American Civil War ."
Who plays Winston Wolf in the Direct Line Insurance television advertisements?,Harvey Keitel
What can sufferers of prosopagnosia not recognize?,Faces
What visionary management thinker wrote The Age Of Unreason and The Empty Raincoat?,Charles Handy
how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945."
how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.
what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.
what do porcupines eat,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark."
how does nanotechnology affect health,"Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production."
how south african leaders are elected,"The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994."
how many users do twitter have,"The service rapidly gained worldwide popularity, with over 500 million registered users as of 2012, generating over 340 million tweets daily and handling over 1.6 billion search queries per day."
what cars have smart key systems,"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997."
how is schizophrenia diagnosed?,Diagnosis is based on observed behavior and the patient's reported experiences.
how does flexible spending account work,"An FSA allows an employee to set aside a portion of earnings to pay for qualified expenses as established in the cafeteria plan, most commonly for medical expenses but often for dependent care or other expenses."
where did hurricane katrina begin,Hurricane Katrina was the deadliest and most destructive Atlantic hurricane of the 2005 Atlantic hurricane season .
when president nixon resigns,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office."
who owns exxon mobil,"It is a direct descendant of John D. Rockefeller 's Standard Oil company, and was formed on November 30, 1999, by the merger of Exxon and Mobil ."
Who controlled Alaska before US?,"Alaska was purchased from Russia on March 30, 1867, for $7.2 million ($ adjusted for inflation) at approximately two cents per acre ($4.74/km2)."
when did expos become nationals,"After being purchased by MLB in 2002, the team was moved before the season to Washington and renamed the Nationals, the first relocation since the second Washington Senators moved to Arlington, Texas , and became the Texas Rangers in ."
who reports the consumer price index,"The CPI in the United States is defined by the Bureau of Labor Statistics as ""a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services."""
who shot john lennon?,"He was shot by Mark David Chapman at the entrance of the building where he lived, The Dakota , in New York City on 8 December 1980."
what are anti inflammatories,Anti-inflammatory refers to the property of a substance or treatment that reduces inflammation .
when will ie9 be released,"It was released to the public on March 14, 2011."
where is mark sanchez from,"Mark Travis John Sanchez (born November 11, 1986) is an American football quarterback for the New York Jets of the National Football League (NFL)."
What Is Benzene Used For,"It is mainly used as a precursor to heavy chemicals, such as ethylbenzene and cumene , which are produced on a billion kilogram scale."
"What was ""Freedom Summer""?","Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting."
what is corpus christi holiday,"The Feast of Corpus Christi ( Latin for Body of Christ ), also known as Corpus Domini, is a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist ."
who is bj's wholesale club,"BJ's Wholesale Club, Inc., commonly referred to simply as BJ's, is a membership-only warehouse club chain operating on the United States East Coast , as well as in the state of Ohio ."
where is dear john filmed at,"The movie was filmed in 2009 in Charleston, South Carolina ."
How Works Diaphragm Pump,"A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid ."
where is david ortiz from,"David Américo Ortiz Arias (born November 18, 1975), nicknamed ""Big Papi"", is a Dominican-American professional baseball designated hitter with the Boston Red Sox of Major League Baseball (MLB)."
where was paul revere born,"Paul Revere (December 21, 1734May 10, 1818) was an American silversmith , early industrialist, and a patriot in the American Revolution ."
where are kenworth trucks built,"Kenworth is an American manufacturer of medium and heavy-duty Class 8 trucks based in Kirkland, Washington , United States , a suburb of Seattle, Washington."
Spiders catch their prey with,a silky thread
Rocket engines can lift rockets because,of the power the hit the ground with
Places lacking warmth have few what,biological entities
Fibrous tissue contracts to,stretch out an arm
Cellular respiration releases,waste
High humidity can damage materials which,must remain dry to function
Large fluffy clouds in winter may,precipitate
Funerals are common occurrences after,a person has ceased taking in oxygen and pumping blood thru their system
A quartz crystal is a transparent,hexagon
A chocolate rabbit melts away from,a curling iron
To destroy embarrassing evidence you can,flick it into lava
A fixed wing aircraft can fly,in the troposphere
Which element makes iron rust?,Oxygen
Professor Otto Lidenbrock followed Arne Saknussemm where?,Centre of the Earth
Which show jumper achieved success on Mister Softee?,David Broome
What physical feature do all pinnipeds have?,Flippers
"Patek Philippe, Vacheron Constantin, and Audemars Piguet are all notable what?",Watchmakers
Dwarf heather vaccinium yielding acid fruit?,Cranberry
Who composed Maple Leaf Rag?,Scott Joplin
Not Tasty At All.,
what school did oprah winfrey help,"The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa ."
what is evoked otoacoustic emissions,An otoacoustic emission (OAE) is a sound which is generated from within the inner ear .
what naturally occurring isotopes does cobalt have,"Naturally occurring cobalt (Co) is composed of 1 stable isotope , 59Co. 28 radioisotopes have been characterized with the most stable being 60Co with a half-life of 5.2714 years, 57Co with a half-life of 271.79 days, 56Co with a half-life of 77.27 days, and 58Co with a half-life of 70.86 days."
How many odorant receptors do honey bees have?,170
Octopuses excrete an ink as defense when,They're in danger
What bird did sailors call Mother Carey’s Chicken?,Stormy Petrel
What do native Cornish residents call Penwith?,Land’s End
In alchemy what was Aqua Fortis?,Nitric Acid
Which Sparkhill Community leader drives a yellow Mercedes?,Citizen Khan
"""What is disrupted when """"Jet lag"""" occurs?""",Circadian rhythms
Which current BBC drama sees Anne Reid and Derek Jacobi rekindle an old romance?,Last Tango in Halifax
Maps may be redrawn because of,an earthquake
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,"The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars."
Name given to Christ when prophesied by Isaiah?,Emmanuel
what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands."
what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat."
what do UA's detect,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites ."
what do biologists do,A biologist is a scientist who studies living organisms and their relationship to their environment.
What Causes Brain Freeze,"It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head."
what fantasy american football means,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.
what does informal logic mean,"Informal logic, intuitively, refers to the principles of logic and logical thought outside of a formal setting."
how many baseball teams usa,It is composed of 30 teams — 29 in the United States and one in Canada.
what does fidelity do,"Fidelity Investments manages a large family of mutual funds , provides fund distribution and investment advice services, as well as providing discount brokerage services , retirement services, wealth management , securities execution and clearance, life insurance and a number of other services."
what are spoilers for,Some spoilers are added to cars primarily for styling purposes and have either little aerodynamic benefit or even make the aerodynamics worse.
what states have legalized prostitution,"Currently, Nevada is the only state to allow brothel prostitution, the terms of which are stipulated in the Nevada Revised Statutes."
when did secretariat win,"Secretariat (March 30, 1970 – October 4, 1989) was an American Thoroughbred racehorse that in 1973 became the first U.S. Triple Crown champion in 25 years."
who does afge represent,"The American Federation of Government Employees (AFGE) is an American labor union representing over 650,000 employees of the federal government , about 5,000 employees of the District of Columbia , and a few hundred private sector employees, mostly in and around federal facilities."
what produces calcitonin,"Calcitonin (also known as thyrocalcitonin) is a 32-amino acid linear polypeptide hormone that is produced in humans primarily by the parafollicular cells (also known as C-cells) of the thyroid , and in many other animals in the ultimobranchial body ."
when does air bag deploy,It is an occupant restraint system consisting of a flexible fabric envelope or cushion designed to inflate rapidly during an automobile collision .
when album love always released,"Love Always is the debut album of American R&B duo K-Ci & JoJo , released on June 17, 1997, by MCA Records ."
what are dialysis tubes,Dialysis tubing is a type of semi- or partially permeable membrane tubing made from regenerated cellulose or cellophane .
what are loan originations,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application."
what is sims language,"Wright later commented that using ""nonsense language"" turned out to be the right development choice, as people were capable of imagining it more realistically than a computer could simulate a real one."
what is lung effusion,"Pleural effusion is excess fluid that accumulates between the two pleural layers , the fluid-filled space that surrounds the lungs."
what is metal music about,"With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness."
what is sanskrit shri,"Sri ( Devanagari : श्री, IAST ; Śrī), also transliterated as Sree or Shri or Shree is a word of Sanskrit origin, used in the Indian subcontinent as polite form of address equivalent to the English ""Mr."" in written and spoken language, or as a title of veneration for deities (usually translated as ""Holy"")."
what is blood urea,The liver produces urea in the urea cycle as a waste product of the digestion of protein .
where is modesto california,"Modesto ( Spanish for ""modest""), officially the City of Modesto, is the county seat and largest city of Stanislaus County , California , United States ."
when was srv born,"Stephen ""Stevie"" Ray Vaughan (October 3, 1954 – August 27, 1990) was an American guitarist, singer-songwriter, and record producer."
what is ethernet gigabit,"In computer networking , gigabit Ethernet (GbE or 1 GigE) is a term describing various technologies for transmitting Ethernet frames at a rate of a gigabit per second (1,000,000,000 bits per second), as defined by the IEEE 802.3-2008 standard."
